{'preço_prod_1': 27}
{'preço_prod_4': 21}
{'preço_prod_8': 42}
{'preço_prod_9': 35}
{'preço_prod_11': 22}
{'preço_prod_0': 60}
{'preço_prod_1': 58}
{'preço_prod_5': 56}
{'preço_prod_9': 41}
{'preço_prod_8': 56}
{'preço_prod_0': 21}
{'preço_prod_2': 25}
{'preço_prod_3': 57}
{'preço_prod_4': 36}
{'preço_prod_6': 52}
{'preço_prod_7': 52}
{'preço_prod_9': 59}
{'preço_prod_8': 32}
{'preço_prod_1': 32}
{'preço_prod_2': 52}
{'preço_prod_3': 41}
{'preço_prod_4': 58}
{'preço_prod_5': 32}
{'preço_prod_6': 26}
{'preço_prod_7': 21}
{'preço_prod_10': 21}
{'preço_prod_0': 29}
{'preço_prod_1': 49}
{'preço_prod_4': 48}
{'preço_prod_5': 51}
{'preço_prod_6': 58}
{'preço_prod_9': 45}
{'preço_prod_8': 47}
{'preço_prod_1': 41}
{'preço_prod_2': 37}
{'preço_prod_3': 39}
{'preço_prod_4': 29}
{'preço_prod_5': 49}
{'preço_prod_7': 41}
{'preço_prod_8': 26}
{'preço_prod_9': 38}
{'preço_prod_10': 28}
{'preço_prod_1': 53}
{'preço_prod_5': 53}
{'preço_prod_6': 47}
{'preço_prod_7': 50}
{'preço_prod_8': 38}
{'preço_prod_11': 42}
{'preço_prod_1': 60}
{'preço_prod_3': 24}
{'preço_prod_4': 51}
{'preço_prod_9': 37}
{'preço_prod_11': 44}
{'preço_prod_1': 47}
{'preço_prod_2': 24}
{'preço_prod_3': 53}
{'preço_prod_5': 20}
{'preço_prod_8': 20}
{'preço_prod_10': 46}
{'preço_prod_4': 41}
{'preço_prod_5': 26}
{'preço_prod_6': 32}
{'preço_prod_7': 21}
{'preço_prod_9': 49}
{'preço_prod_8': 39}
{'preço_prod_10': 38}
{'preço_prod_1': 20}
{'preço_prod_2': 55}
{'preço_prod_3': 20}
{'preço_prod_4': 48}
{'preço_prod_5': 38}
{'preço_prod_7': 23}
{'preço_prod_9': 47}
{'preço_prod_8': 24}
{'preço_prod_0': 31}
{'preço_prod_1': 29}
{'preço_prod_2': 58}
{'preço_prod_3': 35}
{'preço_prod_4': 26}
{'preço_prod_6': 41}
{'preço_prod_7': 27}
{'preço_prod_8': 30}
{'preço_prod_9': 54}
{'preço_prod_11': 27}
{'preço_prod_1': 40}
{'preço_prod_8': 44}
{'preço_prod_10': 21}
{'preço_prod_11': 34}
{'preço_prod_0': 52}
{'preço_prod_1': 40}
{'preço_prod_2': 31}
{'preço_prod_4': 53}
{'preço_prod_6': 38}
{'preço_prod_7': 53}
{'preço_prod_9': 26}
{'preço_prod_11': 24}
{'preço_prod_1': 53}
{'preço_prod_4': 29}
{'preço_prod_8': 40}
{'preço_prod_9': 29}
{'preço_prod_10': 59}
{'preço_prod_4': 59}
{'preço_prod_5': 24}
{'preço_prod_6': 52}
{'preço_prod_7': 48}
{'preço_prod_8': 29}
{'preço_prod_9': 30}
{'preço_prod_1': 26}
{'preço_prod_5': 39}
{'preço_prod_8': 57}
{'preço_prod_9': 47}
{'preço_prod_3': 42}
{'preço_prod_4': 58}
{'preço_prod_6': 42}
{'preço_prod_9': 56}
{'preço_prod_8': 22}
{'preço_prod_0': 55}
{'preço_prod_1': 45}
{'preço_prod_2': 37}
{'preço_prod_3': 39}
{'preço_prod_4': 23}
{'preço_prod_7': 28}
{'preço_prod_8': 42}
{'preço_prod_10': 27}
{'preço_prod_11': 48}
{'preço_prod_0': 51}
{'preço_prod_1': 33}
{'preço_prod_2': 60}
{'preço_prod_4': 44}
{'preço_prod_6': 58}
{'preço_prod_8': 59}
{'preço_prod_9': 58}
{'preço_prod_10': 23}
{'preço_prod_0': 37}
{'preço_prod_1': 20}
{'preço_prod_4': 51}
{'preço_prod_5': 36}
{'preço_prod_6': 35}
{'preço_prod_8': 21}
{'preço_prod_10': 21}
{'preço_prod_1': 36}
{'preço_prod_2': 29}
{'preço_prod_5': 42}
{'preço_prod_6': 36}
{'preço_prod_7': 55}
{'preço_prod_8': 22}
{'preço_prod_9': 39}
{'preço_prod_11': 49}
{'preço_prod_0': 58}
